"","A1D2","1A0D","94D3","5440","4FCA","0832","A093","A4F8","8712","1338","E89B","238E","4107","110D","1E39","2562","ED72","D8F5","FBF5","FA5B","4999","101F","A1CE","EDDE","B5F7"
"A1D2",0,0.625,0.533333333333333,0.642857142857143,0.0769230769230769,0.307692307692308,0.5,0.571428571428571,0.733333333333333,0.5,0.230769230769231,0.615384615384615,0.625,0.785714285714286,0.6,0.8,0.615384615384615,0.533333333333333,0.625,0.384615384615385,0.8125,0.533333333333333,0.75,0.733333333333333,0.5
"1A0D",0.625,0,0.642857142857143,0.642857142857143,0.0769230769230769,0.214285714285714,0.714285714285714,0.571428571428571,0.733333333333333,0.6,0.142857142857143,0.4,0.733333333333333,0.666666666666667,0.6,0.6875,0.4,0.4375,0.857142857142857,0.285714285714286,0.8125,0.642857142857143,0.75,0.733333333333333,0.714285714285714
"94D3",0.533333333333333,0.642857142857143,0,0.538461538461538,0.1,0.4,0.909090909090909,0.727272727272727,0.642857142857143,0.75,0.3,0.384615384615385,0.769230769230769,0.571428571428571,0.615384615384615,0.6,0.384615384615385,0.538461538461538,0.769230769230769,0.5,0.625,0.818181818181818,0.666666666666667,0.642857142857143,0.75
"5440",0.642857142857143,0.642857142857143,0.538461538461538,0,0.1,0.272727272727273,0.5,0.461538461538462,0.769230769230769,0.5,0.181818181818182,0.5,0.642857142857143,0.571428571428571,0.615384615384615,0.714285714285714,0.285714285714286,0.428571428571429,0.642857142857143,0.25,0.625,0.538461538461538,0.5625,0.642857142857143,0.4
"4FCA",0.0769230769230769,0.0769230769230769,0.1,0.1,0,0.25,0.0909090909090909,0.111111111111111,0.0769230769230769,0.0909090909090909,0.333333333333333,0.125,0.0769230769230769,0.0833333333333333,0.0909090909090909,0.0714285714285714,0.125,0.1,0.0769230769230769,0.2,0.0625,0.1,0.0666666666666667,0.0769230769230769,0.0909090909090909
"0832",0.307692307692308,0.214285714285714,0.4,0.272727272727273,0.25,0,0.363636363636364,0.444444444444444,0.307692307692308,0.363636363636364,0.75,0.5,0.307692307692308,0.333333333333333,0.363636363636364,0.285714285714286,0.333333333333333,0.4,0.307692307692308,0.5,0.25,0.4,0.266666666666667,0.307692307692308,0.363636363636364
"A093",0.5,0.714285714285714,0.909090909090909,0.5,0.0909090909090909,0.363636363636364,0,0.818181818181818,0.714285714285714,0.833333333333333,0.272727272727273,0.357142857142857,0.846153846153846,0.642857142857143,0.692307692307692,0.666666666666667,0.357142857142857,0.615384615384615,0.846153846153846,0.454545454545455,0.6875,0.909090909090909,0.733333333333333,0.714285714285714,0.833333333333333
"A4F8",0.571428571428571,0.571428571428571,0.727272727272727,0.461538461538462,0.111111111111111,0.444444444444444,0.818181818181818,0,0.692307692307692,0.666666666666667,0.333333333333333,0.416666666666667,0.692307692307692,0.75,0.666666666666667,0.642857142857143,0.416666666666667,0.583333333333333,0.692307692307692,0.555555555555556,0.5625,0.9,0.6,0.692307692307692,0.666666666666667
"8712",0.733333333333333,0.733333333333333,0.642857142857143,0.769230769230769,0.0769230769230769,0.307692307692308,0.714285714285714,0.692307692307692,0,0.714285714285714,0.230769230769231,0.5,0.857142857142857,0.785714285714286,0.846153846153846,0.928571428571429,0.4,0.642857142857143,0.857142857142857,0.384615384615385,0.8125,0.769230769230769,0.75,0.857142857142857,0.6
"1338",0.5,0.6,0.75,0.5,0.0909090909090909,0.363636363636364,0.833333333333333,0.666666666666667,0.714285714285714,0,0.272727272727273,0.461538461538462,0.846153846153846,0.642857142857143,0.833333333333333,0.666666666666667,0.357142857142857,0.75,0.714285714285714,0.454545454545455,0.6875,0.75,0.733333333333333,0.714285714285714,0.692307692307692
"E89B",0.230769230769231,0.142857142857143,0.3,0.181818181818182,0.333333333333333,0.75,0.272727272727273,0.333333333333333,0.230769230769231,0.272727272727273,0,0.375,0.230769230769231,0.25,0.272727272727273,0.214285714285714,0.375,0.3,0.230769230769231,0.6,0.1875,0.3,0.2,0.230769230769231,0.272727272727273
"238E",0.615384615384615,0.4,0.384615384615385,0.5,0.125,0.5,0.357142857142857,0.416666666666667,0.5,0.461538461538462,0.375,0,0.5,0.538461538461538,0.461538461538462,0.466666666666667,0.454545454545455,0.5,0.4,0.444444444444444,0.5,0.384615384615385,0.4375,0.615384615384615,0.357142857142857
"4107",0.625,0.733333333333333,0.769230769230769,0.642857142857143,0.0769230769230769,0.307692307692308,0.846153846153846,0.692307692307692,0.857142857142857,0.846153846153846,0.230769230769231,0.5,0,0.666666666666667,0.714285714285714,0.8,0.3125,0.642857142857143,0.857142857142857,0.384615384615385,0.8125,0.769230769230769,0.75,0.857142857142857,0.714285714285714
"110D",0.785714285714286,0.666666666666667,0.571428571428571,0.571428571428571,0.0833333333333333,0.333333333333333,0.642857142857143,0.75,0.785714285714286,0.642857142857143,0.25,0.538461538461538,0.666666666666667,0,0.769230769230769,0.733333333333333,0.538461538461538,0.571428571428571,0.666666666666667,0.416666666666667,0.75,0.692307692307692,0.8,0.785714285714286,0.642857142857143
"1E39",0.6,0.6,0.615384615384615,0.615384615384615,0.0909090909090909,0.363636363636364,0.692307692307692,0.666666666666667,0.846153846153846,0.833333333333333,0.272727272727273,0.461538461538462,0.714285714285714,0.769230769230769,0,0.785714285714286,0.461538461538462,0.75,0.714285714285714,0.454545454545455,0.6875,0.75,0.733333333333333,0.714285714285714,0.571428571428571
"2562",0.8,0.6875,0.6,0.714285714285714,0.0714285714285714,0.285714285714286,0.666666666666667,0.642857142857143,0.928571428571429,0.666666666666667,0.214285714285714,0.466666666666667,0.8,0.733333333333333,0.785714285714286,0,0.466666666666667,0.714285714285714,0.8,0.357142857142857,0.875,0.714285714285714,0.8125,0.8,0.5625
"ED72",0.615384615384615,0.4,0.384615384615385,0.285714285714286,0.125,0.333333333333333,0.357142857142857,0.416666666666667,0.4,0.357142857142857,0.375,0.454545454545455,0.3125,0.538461538461538,0.461538461538462,0.466666666666667,0,0.5,0.4,0.625,0.5,0.384615384615385,0.533333333333333,0.4,0.357142857142857
"D8F5",0.533333333333333,0.4375,0.538461538461538,0.428571428571429,0.1,0.4,0.615384615384615,0.583333333333333,0.642857142857143,0.75,0.3,0.5,0.642857142857143,0.571428571428571,0.75,0.714285714285714,0.5,0,0.533333333333333,0.5,0.625,0.666666666666667,0.666666666666667,0.642857142857143,0.5
"FBF5",0.625,0.857142857142857,0.769230769230769,0.642857142857143,0.0769230769230769,0.307692307692308,0.846153846153846,0.692307692307692,0.857142857142857,0.714285714285714,0.230769230769231,0.4,0.857142857142857,0.666666666666667,0.714285714285714,0.8,0.4,0.533333333333333,0,0.384615384615385,0.8125,0.769230769230769,0.75,0.733333333333333,0.714285714285714
"FA5B",0.384615384615385,0.285714285714286,0.5,0.25,0.2,0.5,0.454545454545455,0.555555555555556,0.384615384615385,0.454545454545455,0.6,0.444444444444444,0.384615384615385,0.416666666666667,0.454545454545455,0.357142857142857,0.625,0.5,0.384615384615385,0,0.3125,0.5,0.333333333333333,0.384615384615385,0.333333333333333
"4999",0.8125,0.8125,0.625,0.625,0.0625,0.25,0.6875,0.5625,0.8125,0.6875,0.1875,0.5,0.8125,0.75,0.6875,0.875,0.5,0.625,0.8125,0.3125,0,0.625,0.9375,0.8125,0.6875
"101F",0.533333333333333,0.642857142857143,0.818181818181818,0.538461538461538,0.1,0.4,0.909090909090909,0.9,0.769230769230769,0.75,0.3,0.384615384615385,0.769230769230769,0.692307692307692,0.75,0.714285714285714,0.384615384615385,0.666666666666667,0.769230769230769,0.5,0.625,0,0.666666666666667,0.769230769230769,0.75
"A1CE",0.75,0.75,0.666666666666667,0.5625,0.0666666666666667,0.266666666666667,0.733333333333333,0.6,0.75,0.733333333333333,0.2,0.4375,0.75,0.8,0.733333333333333,0.8125,0.533333333333333,0.666666666666667,0.75,0.333333333333333,0.9375,0.666666666666667,0,0.75,0.733333333333333
"EDDE",0.733333333333333,0.733333333333333,0.642857142857143,0.642857142857143,0.0769230769230769,0.307692307692308,0.714285714285714,0.692307692307692,0.857142857142857,0.714285714285714,0.230769230769231,0.615384615384615,0.857142857142857,0.785714285714286,0.714285714285714,0.8,0.4,0.642857142857143,0.733333333333333,0.384615384615385,0.8125,0.769230769230769,0.75,0,0.714285714285714
"B5F7",0.5,0.714285714285714,0.75,0.4,0.0909090909090909,0.363636363636364,0.833333333333333,0.666666666666667,0.6,0.692307692307692,0.272727272727273,0.357142857142857,0.714285714285714,0.642857142857143,0.571428571428571,0.5625,0.357142857142857,0.5,0.714285714285714,0.333333333333333,0.6875,0.75,0.733333333333333,0.714285714285714,0
