"","1A0D","94D3","5440","A4F8","8712","1338","E89B","238E","4107","110D","1E39","2562","D8F5","FBF5","4999","A1CE","EDDE","B5F7","101F","50FB","B311","F6AA"
"1A0D",0,0.387096774193548,0.4,0.428571428571429,0.478260869565217,0.382352941176471,0.333333333333333,0.266666666666667,0.260869565217391,0.405405405405405,0.448275862068966,0.527777777777778,0.607142857142857,0.566666666666667,0.344827586206897,0.64,0.583333333333333,0.411764705882353,0.5,0.342105263157895,0.457142857142857,0.390243902439024
"94D3",0.387096774193548,0,0.6,0.444444444444444,0.178571428571429,0.703703703703704,0.566666666666667,0.423076923076923,0.0769230769230769,0.545454545454545,0.464285714285714,0.45945945945946,0.375,0.4375,0.225806451612903,0.481481481481481,0.275862068965517,0.46875,0.266666666666667,0.5625,0.470588235294118,0.473684210526316
"5440",0.4,0.6,0,0.451612903225806,0.21875,0.733333333333333,0.766666666666667,0.482758620689655,0.0625,0.838709677419355,0.424242424242424,0.578947368421053,0.388888888888889,0.485714285714286,0.222222222222222,0.393939393939394,0.264705882352941,0.558823529411765,0.189189189189189,0.6,0.696969696969697,0.631578947368421
"A4F8",0.428571428571429,0.444444444444444,0.451612903225806,0,0.25,0.433333333333333,0.571428571428571,0.307692307692308,0.0869565217391304,0.454545454545455,0.357142857142857,0.378378378378378,0.32258064516129,0.433333333333333,0.206896551724138,0.48,0.214285714285714,0.517241379310345,0.296296296296296,0.516129032258065,0.382352941176471,0.358974358974359
"8712",0.478260869565217,0.178571428571429,0.21875,0.25,0,0.233333333333333,0.1875,0.166666666666667,0.357142857142857,0.2,0.230769230769231,0.285714285714286,0.4,0.48,0.318181818181818,0.291666666666667,0.333333333333333,0.310344827586207,0.380952380952381,0.138888888888889,0.242424242424242,0.175
"1338",0.382352941176471,0.703703703703704,0.733333333333333,0.433333333333333,0.233333333333333,0,0.7,0.576923076923077,0.0666666666666667,0.774193548387097,0.40625,0.526315789473684,0.411764705882353,0.428571428571429,0.2,0.375,0.242424242424242,0.545454545454545,0.2,0.636363636363636,0.6875,0.578947368421053
"E89B",0.333333333333333,0.566666666666667,0.766666666666667,0.571428571428571,0.1875,0.7,0,0.5,0.03125,0.696969696969697,0.483870967741935,0.475,0.361111111111111,0.378378378378378,0.228571428571429,0.323529411764706,0.166666666666667,0.529411764705882,0.162162162162162,0.71875,0.571428571428571,0.525
"238E",0.266666666666667,0.423076923076923,0.482758620689655,0.307692307692308,0.166666666666667,0.576923076923077,0.5,0,0.0454545454545455,0.533333333333333,0.333333333333333,0.324324324324324,0.258064516129032,0.205882352941176,0.178571428571429,0.25,0.185185185185185,0.4,0.137931034482759,0.40625,0.5,0.416666666666667
"4107",0.260869565217391,0.0769230769230769,0.0625,0.0869565217391304,0.357142857142857,0.0666666666666667,0.03125,0.0454545454545455,0,0.0571428571428571,0.125,0.142857142857143,0.304347826086957,0.230769230769231,0.263157894736842,0.181818181818182,0.277777777777778,0.1,0.411764705882353,0.0285714285714286,0.0909090909090909,0.0769230769230769
"110D",0.405405405405405,0.545454545454545,0.838709677419355,0.454545454545455,0.2,0.774193548387097,0.696969696969697,0.533333333333333,0.0571428571428571,0,0.388888888888889,0.702702702702703,0.394736842105263,0.486486486486487,0.236842105263158,0.4,0.243243243243243,0.647058823529412,0.205128205128205,0.638888888888889,0.787878787878788,0.756756756756757
"1E39",0.448275862068966,0.464285714285714,0.424242424242424,0.357142857142857,0.230769230769231,0.40625,0.483870967741935,0.333333333333333,0.125,0.388888888888889,0,0.472222222222222,0.482758620689655,0.363636363636364,0.37037037037037,0.444444444444444,0.333333333333333,0.393939393939394,0.321428571428571,0.441176470588235,0.361111111111111,0.341463414634146
"2562",0.527777777777778,0.45945945945946,0.578947368421053,0.378378378378378,0.285714285714286,0.526315789473684,0.475,0.324324324324324,0.142857142857143,0.702702702702703,0.472222222222222,0,0.473684210526316,0.657142857142857,0.351351351351351,0.444444444444444,0.324324324324324,0.552631578947368,0.31578947368421,0.51219512195122,0.631578947368421,0.7
