"","1A0D","A4F8","E89B","238E","4107","110D","1E39","2562","D8F5","4999","A1CE","B5F7","101F","50FB","B311","7789","48AB","F50E","A41C","5440","EDDE"
"1A0D",0,0.178571428571429,0.4,0.321428571428571,0.806451612903226,0.75,0.473684210526316,0.806451612903226,0.285714285714286,0.806451612903226,0.696969696969697,0.0714285714285714,0.555555555555556,0.25,0.25,0.285714285714286,0.696969696969697,0.473684210526316,0.866666666666667,0.142857142857143,0.0714285714285714
"A4F8",0.178571428571429,0,0.0645161290322581,0.4,0.137931034482759,0.1,0.178571428571429,0.178571428571429,0.625,0.178571428571429,0.137931034482759,0.166666666666667,0.137931034482759,0.5,0.714285714285714,0.625,0.178571428571429,0.178571428571429,0.178571428571429,0.5,0.4
"E89B",0.4,0.0645161290322581,0,0.0882352941176471,0.365853658536585,0.4,0.647058823529412,0.513513513513513,0.125,0.435897435897436,0.435897435897436,0,0.75,0.09375,0.129032258064516,0.125,0.365853658536585,0.555555555555556,0.4,0.032258064516129,0.0344827586206897
"238E",0.321428571428571,0.4,0.0882352941176471,0,0.275862068965517,0.275862068965517,0.233333333333333,0.321428571428571,0.7,0.321428571428571,0.233333333333333,0.1,0.193548387096774,0.6,0.6,0.7,0.233333333333333,0.275862068965517,0.321428571428571,0.3,0.222222222222222
"4107",0.806451612903226,0.137931034482759,0.365853658536585,0.275862068965517,0,0.806451612903226,0.435897435897436,0.647058823529412,0.241379310344828,0.75,0.647058823529412,0.0714285714285714,0.513513513513513,0.206896551724138,0.206896551724138,0.241379310344828,0.75,0.513513513513513,0.806451612903226,0.103448275862069,0.0714285714285714
"110D",0.75,0.1,0.4,0.275862068965517,0.806451612903226,0,0.4,0.696969696969697,0.2,0.806451612903226,0.696969696969697,0.0714285714285714,0.473684210526316,0.166666666666667,0.166666666666667,0.2,0.6,0.473684210526316,0.75,0.0666666666666667,0.0344827586206897
"1E39",0.473684210526316,0.178571428571429,0.647058823529412,0.233333333333333,0.435897435897436,0.4,0,0.6,0.285714285714286,0.513513513513513,0.435897435897436,0.0344827586206897,0.647058823529412,0.206896551724138,0.25,0.241379310344828,0.513513513513513,0.866666666666667,0.473684210526316,0.142857142857143,0.0714285714285714
"2562",0.806451612903226,0.178571428571429,0.513513513513513,0.321428571428571,0.647058823529412,0.696969696969697,0.6,0,0.285714285714286,0.75,0.75,0.0714285714285714,0.696969696969697,0.25,0.25,0.285714285714286,0.555555555555556,0.6,0.696969696969697,0.142857142857143,0.0714285714285714
"D8F5",0.285714285714286,0.625,0.125,0.7,0.241379310344828,0.2,0.285714285714286,0.285714285714286,0,0.285714285714286,0.2,0.111111111111111,0.2,0.666666666666667,0.875,0.777777777777778,0.241379310344828,0.285714285714286,0.285714285714286,0.5,0.25
"4999",0.806451612903226,0.178571428571429,0.435897435897436,0.321428571428571,0.75,0.806451612903226,0.513513513513513,0.75,0.285714285714286,0,0.75,0.0344827586206897,0.6,0.25,0.25,0.285714285714286,0.647058823529412,0.6,0.931034482758621,0.142857142857143,0.0714285714285714
