"","1A0D","5440","E89B","238E","110D","1E39","2562","D8F5","4999","A1CE","EDDE","B5F7","101F","B311","7789","48AB","A41C","F50E","ED95","CF71","D3B0","100F","8E4B","8EBE"
"1A0D",0,0.5,0.34375,0.25,0.724137931034483,0.514285714285714,0.5625,0.470588235294118,0.566666666666667,0.323529411764706,0.454545454545455,0.472222222222222,0.366666666666667,0.424242424242424,0.548387096774194,0.516129032258065,0.4,0.466666666666667,0.45945945945946,0.432432432432432,0.540540540540541,0.354838709677419,0.115384615384615,0.454545454545455
"5440",0.5,0,0.461538461538462,0.428571428571429,0.363636363636364,0.548387096774194,0.451612903225806,0.451612903225806,0.4,0.333333333333333,0.433333333333333,0.5,0.44,0.75,0.535714285714286,0.448275862068966,0.333333333333333,0.444444444444444,0.53125,0.371428571428571,0.405405405405405,0.48,0.142857142857143,0.433333333333333
"E89B",0.34375,0.461538461538462,0,0.461538461538462,0.482758620689655,0.533333333333333,0.433333333333333,0.433333333333333,0.333333333333333,0.461538461538462,0.366666666666667,0.393939393939394,0.416666666666667,0.481481481481481,0.518518518518518,0.428571428571429,0.448275862068966,0.321428571428571,0.424242424242424,0.393939393939394,0.351351351351351,0.590909090909091,0.157894736842105,0.366666666666667
"238E",0.25,0.428571428571429,0.461538461538462,0,0.363636363636364,0.6,0.451612903225806,0.5,0.448275862068966,0.481481481481481,0.482758620689655,0.548387096774194,0.384615384615385,0.4,0.387096774193548,0.448275862068966,0.375,0.3,0.4,0.454545454545455,0.405405405405405,0.275862068965517,0.142857142857143,0.387096774193548
"110D",0.724137931034483,0.363636363636364,0.482758620689655,0.363636363636364,0,0.514285714285714,0.5625,0.515151515151515,0.566666666666667,0.40625,0.411764705882353,0.472222222222222,0.32258064516129,0.305555555555556,0.5,0.424242424242424,0.441176470588235,0.294117647058824,0.384615384615385,0.514285714285714,0.461538461538462,0.3125,0.115384615384615,0.411764705882353
"1E39",0.514285714285714,0.548387096774194,0.533333333333333,0.6,0.514285714285714,0,0.558823529411765,0.514285714285714,0.515151515151515,0.5,0.5,0.75,0.375,0.5625,0.457142857142857,0.612903225806452,0.444444444444444,0.46875,0.583333333333333,0.473684210526316,0.666666666666667,0.451612903225806,0.142857142857143,0.5
"2562",0.5625,0.451612903225806,0.433333333333333,0.451612903225806,0.5625,0.558823529411765,0,0.470588235294118,0.516129032258065,0.363636363636364,0.548387096774194,0.472222222222222,0.518518518518518,0.424242424242424,0.5,0.516129032258065,0.53125,0.419354838709677,0.421052631578947,0.472222222222222,0.540540540540541,0.4,0.16,0.548387096774194
"D8F5",0.470588235294118,0.451612903225806,0.433333333333333,0.5,0.515151515151515,0.514285714285714,0.470588235294118,0,0.46875,0.5,0.548387096774194,0.606060606060606,0.366666666666667,0.424242424242424,0.548387096774194,0.516129032258065,0.4,0.419354838709677,0.636363636363636,0.65625,0.461538461538462,0.3125,0.0740740740740741,0.5
"4999",0.566666666666667,0.4,0.333333333333333,0.448275862068966,0.566666666666667,0.515151515151515,0.516129032258065,0.46875,0,0.354838709677419,0.551724137931034,0.428571428571429,0.266666666666667,0.375,0.551724137931034,0.466666666666667,0.314285714285714,0.366666666666667,0.457142857142857,0.470588235294118,0.5,0.3,0.0833333333333333,0.40625
"A1CE",0.323529411764706,0.333333333333333,0.461538461538462,0.481481481481481,0.40625,0.5,0.363636363636364,0.5,0.354838709677419,0,0.482758620689655,0.548387096774194,0.333333333333333,0.354838709677419,0.387096774193548,0.4,0.466666666666667,0.5,0.484848484848485,0.411764705882353,0.368421052631579,0.275862068965517,0,0.303030303030303
