"","E89B","238E","110D","2562","4999","A1CE","B5F7","101F","B311","48AB","A41C","D3B0","100F","909D","96BF","877B","8870","91BD","1A0D","ED95","8EBE"
"E89B",0,0.583333333333333,0.5,0.4,0.44,0.347826086956522,0.375,0.384615384615385,0.0909090909090909,0.48,0.454545454545455,0.5,0.391304347826087,0.25,0.416666666666667,0.8,0.538461538461538,0.833333333333333,0.291666666666667,0.166666666666667,0.130434782608696
"238E",0.583333333333333,0,0.428571428571429,0.526315789473684,0.5,0.388888888888889,0.421052631578947,0.5,0.125,0.55,0.444444444444444,0.65,0.368421052631579,0.333333333333333,0.473684210526316,0.625,0.545454545454545,0.652173913043478,0.31578947368421,0.157894736842105,0.0526315789473684
"110D",0.5,0.428571428571429,0,0.35,0.473684210526316,0.277777777777778,0.470588235294118,0.272727272727273,0.0666666666666667,0.45,0.411764705882353,0.476190476190476,0.411764705882353,0.222222222222222,0.529411764705882,0.48,0.454545454545455,0.565217391304348,0.352941176470588,0.176470588235294,0.2
"2562",0.4,0.526315789473684,0.35,0,0.35,0.466666666666667,0.411764705882353,0.5,0.0714285714285714,0.473684210526316,0.352941176470588,0.578947368421053,0.4375,0.4,0.388888888888889,0.44,0.476190476190476,0.4,0.294117647058824,0.266666666666667,0.133333333333333
"4999",0.44,0.5,0.473684210526316,0.35,0,0.210526315789474,0.388888888888889,0.4,0.142857142857143,0.526315789473684,0.263157894736842,0.631578947368421,0.333333333333333,0.294117647058824,0.529411764705882,0.48,0.777777777777778,0.5,0.277777777777778,0.25,0.285714285714286
"A1CE",0.347826086956522,0.388888888888889,0.277777777777778,0.466666666666667,0.210526315789474,0,0.538461538461538,0.533333333333333,0.1,0.333333333333333,0.266666666666667,0.3,0.583333333333333,0.416666666666667,0.4,0.391304347826087,0.35,0.409090909090909,0.5,0.25,0.181818181818182
"B5F7",0.375,0.421052631578947,0.470588235294118,0.411764705882353,0.388888888888889,0.538461538461538,0,0.5625,0.181818181818182,0.368421052631579,0.3125,0.4,0.909090909090909,0.461538461538462,0.4375,0.36,0.45,0.5,0.666666666666667,0.416666666666667,0.153846153846154
"101F",0.384615384615385,0.5,0.272727272727273,0.5,0.4,0.533333333333333,0.5625,0,0.142857142857143,0.45,0.263157894736842,0.476190476190476,0.5,0.375,0.368421052631579,0.48,0.523809523809524,0.44,0.533333333333333,0.428571428571429,0.125
"B311",0.0909090909090909,0.125,0.0666666666666667,0.0714285714285714,0.142857142857143,0.1,0.181818181818182,0.142857142857143,0,0.0625,0.0909090909090909,0.117647058823529,0.2,0.25,0.0769230769230769,0.0869565217391304,0.111111111111111,0.0909090909090909,0,0.142857142857143,0
"48AB",0.48,0.55,0.45,0.473684210526316,0.526315789473684,0.333333333333333,0.368421052631579,0.45,0.0625,0,0.388888888888889,0.454545454545455,0.31578947368421,0.277777777777778,0.588235294117647,0.52,0.571428571428571,0.48,0.263157894736842,0.166666666666667,0.266666666666667
"A41C",0.454545454545455,0.444444444444444,0.411764705882353,0.352941176470588,0.263157894736842,0.266666666666667,0.3125,0.263157894736842,0.0909090909090909,0.388888888888889,0,0.421052631578947,0.333333333333333,0.2,0.571428571428571,0.32,0.272727272727273,0.333333333333333,0.266666666666667,0.0666666666666667,0.0769230769230769
"D3B0",0.5,0.65,0.476190476190476,0.578947368421053,0.631578947368421,0.3,0.4,0.476190476190476,0.117647058823529,0.454545454545455,0.421052631578947,0,0.35,0.31578947368421,0.526315789473684,0.6,0.666666666666667,0.5,0.3,0.277777777777778,0.166666666666667
"100F",0.391304347826087,0.368421052631579,0.411764705882353,0.4375,0.333333333333333,0.583333333333333,0.909090909090909,0.5,0.2,0.31578947368421,0.333333333333333,0.35,0,0.5,0.375,0.32,0.4,0.454545454545455,0.583333333333333,0.454545454545455,0.166666666666667
"909D",0.25,0.333333333333333,0.222222222222222,0.4,0.294117647058824,0.416666666666667,0.461538461538462,0.375,0.25,0.277777777777778,0.2,0.31578947368421,0.5,0,0.333333333333333,0.347826086956522,0.368421052631579,0.304347826086957,0.214285714285714,0.272727272727273,0.2
