"","91BD","06E6","0ACE","0222","1A0D","238E","110D","2562","4999","B5F7","B311","48AB","ED95","D3B0","8EBE","100F","909D","96BF","877B","8870","A1CE","101F","1153","AE33"
"91BD",0,0.633333333333333,0.758620689655172,0.53125,0.424242424242424,0.133333333333333,0.133333333333333,0.0344827586206897,0.272727272727273,0.696969696969697,0.548387096774194,0.137931034482759,0.241379310344828,0.6,0.606060606060606,0.441176470588235,0.5625,0.137931034482759,0.636363636363636,0.172413793103448,0.242424242424242,0.375,0.774193548387097,0.0344827586206897
"06E6",0.633333333333333,0,0.5,0.6,0.461538461538462,0.136363636363636,0.25,0.05,0.434782608695652,0.424242424242424,0.56,0.2,0.285714285714286,0.344827586206897,0.375,0.428571428571429,0.464285714285714,0.2,0.40625,0.25,0.333333333333333,0.521739130434783,0.483870967741935,0.05
"0ACE",0.758620689655172,0.5,0,0.555555555555556,0.333333333333333,0.125,0.125,0,0.206896551724138,0.53125,0.413793103448276,0.130434782608696,0.260869565217391,0.464285714285714,0.483870967741935,0.354838709677419,0.433333333333333,0.130434782608696,0.46875,0.173913043478261,0.214285714285714,0.37037037037037,0.655172413793103,0.0454545454545455
"0222",0.53125,0.6,0.555555555555556,0,0.407407407407407,0.0869565217391304,0.25,0.05,0.434782608695652,0.46875,0.392857142857143,0.2,0.285714285714286,0.344827586206897,0.466666666666667,0.538461538461538,0.366666666666667,0.2,0.40625,0.25,0.333333333333333,0.4,0.4375,0.05
"1A0D",0.424242424242424,0.461538461538462,0.333333333333333,0.407407407407407,0,0.210526315789474,0.210526315789474,0.0555555555555556,0.347826086956522,0.607142857142857,0.541666666666667,0.157894736842105,0.31578947368421,0.423076923076923,0.555555555555556,0.652173913043478,0.5,0.157894736842105,0.653846153846154,0.210526315789474,0.363636363636364,0.375,0.466666666666667,0.0555555555555556
"238E",0.133333333333333,0.136363636363636,0.125,0.0869565217391304,0.210526315789474,0,0.25,0.2,0.2,0.185185185185185,0.142857142857143,0.285714285714286,0.2,0.142857142857143,0.208333333333333,0.25,0.130434782608696,0.285714285714286,0.2,0.25,0.214285714285714,0.111111111111111,0.148148148148148,0
"110D",0.133333333333333,0.25,0.125,0.25,0.210526315789474,0.25,0,0.2,0.384615384615385,0.142857142857143,0.263157894736842,0.8,0.5,0.2,0.115384615384615,0.19047619047619,0.238095238095238,0.8,0.111111111111111,0.666666666666667,0.307692307692308,0.25,0.107142857142857,0.2
"2562",0.0344827586206897,0.05,0,0.05,0.0555555555555556,0.2,0.2,0,0.0769230769230769,0.037037037037037,0.0526315789473684,0.25,0.142857142857143,0.0526315789473684,0.0416666666666667,0.05,0.0476190476190476,0.25,0.04,0.2,0,0,0,0
"4999",0.272727272727273,0.434782608695652,0.206896551724138,0.434782608695652,0.347826086956522,0.2,0.384615384615385,0.0769230769230769,0,0.379310344827586,0.454545454545455,0.307692307692308,0.25,0.391304347826087,0.321428571428571,0.5,0.478260869565217,0.307692307692308,0.310344827586207,0.285714285714286,0.666666666666667,0.4,0.181818181818182,0.0769230769230769
"B5F7",0.696969696969697,0.424242424242424,0.53125,0.46875,0.607142857142857,0.185185185185185,0.142857142857143,0.037037037037037,0.379310344827586,0,0.642857142857143,0.107142857142857,0.214285714285714,0.642857142857143,0.821428571428571,0.678571428571429,0.714285714285714,0.107142857142857,0.857142857142857,0.142857142857143,0.344827586206897,0.354838709677419,0.709677419354839,0.037037037037037
"B311",0.548387096774194,0.56,0.413793103448276,0.392857142857143,0.541666666666667,0.142857142857143,0.263157894736842,0.0526315789473684,0.454545454545455,0.642857142857143,0,0.210526315789474,0.368421052631579,0.583333333333333,0.482758620689655,0.444444444444444,0.818181818181818,0.210526315789474,0.62962962962963,0.263157894736842,0.347826086956522,0.545454545454545,0.451612903225806,0.0526315789473684
"48AB",0.137931034482759,0.2,0.130434782608696,0.2,0.157894736842105,0.285714285714286,0.8,0.25,0.307692307692308,0.107142857142857,0.210526315789474,0,0.571428571428571,0.210526315789474,0.0769230769230769,0.142857142857143,0.19047619047619,1,0.0740740740740741,0.8,0.230769230769231,0.1875,0.0714285714285714,0.25
"ED95",0.241379310344828,0.285714285714286,0.260869565217391,0.285714285714286,0.31578947368421,0.2,0.5,0.142857142857143,0.25,0.214285714285714,0.368421052631579,0.571428571428571,0,0.238095238095238,0.192307692307692,0.173913043478261,0.333333333333333,0.571428571428571,0.185185185185185,0.714285714285714,0.1875,0.375,0.178571428571429,0.142857142857143
"D3B0",0.6,0.344827586206897,0.464285714285714,0.344827586206897,0.423076923076923,0.142857142857143,0.2,0.0526315789473684,0.391304347826087,0.642857142857143,0.583333333333333,0.210526315789474,0.238095238095238,0,0.482758620689655,0.392857142857143,0.6,0.210526315789474,0.517241379310345,0.2,0.347826086956522,0.259259259259259,0.451612903225806,0.0526315789473684
