"model","term","obs_estimate","SE","z","perm_estimate","p"
"strength ~ pair_type + colony_size","(Intercept)",-1.12396511151847,0.101976807902786,-11.0217718580674,NA,NA
"strength ~ pair_type + colony_size","pair_type_2mother-daughter",0.375593647454091,0.0766331020724933,4.90119331328631,0.00126858224377523,0
"strength ~ pair_type + colony_size","pair_type_2other",-0.0550085847799594,0.0257123954641805,-2.13938000668164,0.000376910967229066,0.98
"strength ~ pair_type + colony_size","colony_size_c",-0.022568998251047,0.00651582482338296,-3.46372084314712,-0.0226053889212302,0.18
"strength ~ pair_type * colony_size","(Intercept)",-1.12572246445951,0.102136151631271,-11.0217826546232,NA,NA
"strength ~ pair_type * colony_size","pair_type_2mother-daughter",0.415117352051811,0.0757577700770938,5.47953499198,NA,NA
"strength ~ pair_type * colony_size","pair_type_2other",-0.0545202054747041,0.025672266137258,-2.12370054062268,NA,NA
"strength ~ pair_type * colony_size","colony_size_c",-0.0202762384158229,0.00680352398609915,-2.98025529964339,NA,NA
"strength ~ pair_type * colony_size","pair_type_2mother-daughter:colony_size_c",0.01700190613521,0.00584766847701814,2.90746751496413,0.000215778982351607,0.018
"strength ~ pair_type * colony_size","pair_type_2other:colony_size_c",-0.00273482777014139,0.00209313352015872,-1.30657110203558,9.66952339570545e-05,0.902
