"","Eigenvector_beta_offspring","Eigenvector_p_perm_off","Eigenvector_beta_age","Eigenvector_p_perm_age","Closeness_beta_offspring","Closeness_p_perm_off","Closeness_beta_age","Closeness_p_perm_age","Strength_beta_offspring","Strength_p_perm_off","Strength_beta_age","Strength_p_perm_age"
"1",0.075,0.624,0.037,0.952,0.023,NA,0.01,0.952,0.763,0.596,0.377,0.96
"2",0.109,0.05,0.011,0.997,0.036,0.03,0.002,0.998,1.261,0.04,0.098,0.997
"3",0.181,0.006,0.013,1,0.027,0.006,0.002,1,1.716,0.008,0.113,1
"4",0.025,0.547,-0.002,0.22,0.015,0.336,-0.001,0.424,0.256,0.566,-0.02,0.223
"5",0.074,0.084,0.006,1,0.015,0.206,0.001,0.998,1.101,0.046,-0.057,0.97
"6",0.147,0.017,0.01,1,0.024,0.015,0.002,1,2.186,0.011,0.092,1
"7",0.058,0.091,0.033,0.999,0.014,0.162,0.009,1,1.008,0.097,0.522,1
"8",0.001,0.974,0.059,0.648,-0.001,0.836,0.007,0.094,0.002,0.996,0.635,0.527
"9",-0.004,0.88,0.047,0.164,-0.002,0.695,0.009,0.024,0.09,0.862,0.645,0.869
"10",-0.019,0.644,0.061,0.023,0,0.957,0.004,0.695,-0.14,0.75,0.662,0.054
"11",0.04,0.145,0.013,1,0,0.85,0.002,0.902,0.414,0.103,0.184,1
