"","year","Contrast","Eigenvector_beta_off","Eigenvector_p_perm_off","Closeness_beta_off","Closeness_p_perm_off","Strength_beta_off","Strength_p_perm_off"
"1",2013,"offspring_cat1",0.075,0.501,0.023,0.515,0.763,0.495
"2",2014,"offspring_cat1",0.127,0.056,0.043,0.022,1.427,0.044
"3",2014,"offspring_cat2",0.158,0.446,0.049,0.332,1.957,0.357
"4",2015,"offspring_cat1",0.22,0.001,0.025,0.048,1.959,0.008
"5",2015,"offspring_cat2",0.334,0.025,0.056,0.026,3.259,0.024
"6",2016,"offspring_cat1",0.025,0.559,0.015,0.369,0.256,0.533
"7",2017,"offspring_cat1",0.094,0.117,0.02,0.237,1.326,0.106
"8",2017,"offspring_cat2",0.128,0.214,0.027,0.35,1.991,0.137
"9",2018,"offspring_cat1",0.274,0.023,0.046,0.015,3.905,0.017
"10",2018,"offspring_cat2",0.308,0.033,0.052,0.034,4.579,0.033
"11",2018,"offspring_cat3",0.267,0.445,0.04,0.445,4.083,0.426
"12",2019,"offspring_cat1",0.15,0.053,0.036,0.097,2.437,0.052
"13",2019,"offspring_cat2",0.16,0.223,0.038,0.293,2.643,0.251
"14",2019,"offspring_cat3",0.149,0.346,0.038,0.383,2.713,0.316
"15",2020,"offspring_cat1",0.119,0.164,0.014,0.159,1.205,0.223
"16",2020,"offspring_cat2",0.023,0.843,-0.003,0.817,-0.014,0.994
"17",2020,"offspring_cat3",-0.011,0.966,-0.003,0.907,0.01,0.998
"18",2021,"offspring_cat1",0.067,0.321,0.011,0.327,1.086,0.285
"19",2021,"offspring_cat2",-0.005,0.957,-0.002,0.927,0.562,0.709
"20",2021,"offspring_cat3",-0.034,0.796,-0.013,0.583,-0.103,0.952
"21",2022,"offspring_cat1",0.04,0.659,0.005,0.498,0.562,0.577
"22",2022,"offspring_cat2",-0.064,0.569,0.002,0.861,-0.499,0.676
"23",2022,"offspring_cat3",-0.042,0.836,-0.001,0.939,-0.288,0.901
"24",2023,"offspring_cat1",0.144,0.027,0.008,0.009,1.444,0.024
"25",2023,"offspring_cat2",0.052,0.549,0.001,0.806,0.581,0.469
"26",2023,"offspring_cat3",0.173,0.173,0.002,0.785,1.81,0.125
