"","year","Eigenvector_beta_offspring","Eigenvector_p_perm_off","Eigenvector_beta_age","Eigenvector_p_perm_age","Closeness_beta_offspring","Closeness_p_perm_off","Closeness_beta_age","Closeness_p_perm_age","Strength_beta_offspring","Strength_p_perm_off","Strength_beta_age","Strength_p_perm_age"
"1",2013,0.016,NA,0.049,0.733,0.008,NA,0.008,0.87,0.204,NA,0.306,0.832
"2",2014,-0.12,NA,0.035,0.001,-0.033,0.365,0.009,0.004,-1.188,0.202,0.293,0.002
"3",2015,0.182,0.108,0.009,1,0.042,0.12,0.002,1,1.995,0.102,0.043,0.999
"4",2016,0.125,0.158,0.019,0.986,0.041,0.118,0.004,0.993,1.561,0.131,0.164,0.983
"5",2017,0.16,0.026,0.018,0.998,0.039,0.055,0.005,0.995,2.081,0.026,0.2,0.995
"6",2018,0.2,0.023,0.024,0.99,0.047,0.031,0.006,0.986,2.702,0.019,0.216,0.992
"7",2019,0.167,0.04,-0.031,0.015,0.021,0.032,-0.007,0.014,1.932,0.04,-0.389,0.022
"8",2020,-0.02,0.79,0.063,0.156,-0.009,0.581,0.015,0.057,-0.229,0.798,0.663,0.157
"9",2021,0.122,0.102,0.027,0.996,0.03,0.055,0.003,0.997,1.465,0.083,0.21,0.997
"10",2022,0.055,0.42,0.064,0.967,0.011,0.471,0.014,0.955,0.575,0.388,0.623,0.964
"11",2023,0.031,0.679,0.014,0.868,0.007,0.664,0,0.924,0.38,0.649,0.069,0.898
