"","year","Contrast","Eigenvector_beta_off","Eigenvector_p_perm_off","Closeness_beta_off","Closeness_p_perm_off","Strength_beta_off","Strength_p_perm_off"
"1",2013,"offspring_cat1",0.137,0.418,0.028,0.409,1.087,0.365
"2",2013,"offspring_cat2",-0.065,0.893,-0.001,0.992,-0.305,0.898
"3",2014,"offspring_cat1",-0.119,0.485,-0.024,0.657,-1.343,0.383
"4",2014,"offspring_cat2",-0.241,0.165,-0.069,0.281,-2.313,0.169
"5",2015,"offspring_cat1",0.274,0.034,0.058,0.048,2.96,0.028
"6",2015,"offspring_cat2",0.095,0.851,0.035,0.7,1.169,0.833
"7",2016,"offspring_cat1",0.195,0.109,0.058,0.086,2.345,0.088
"8",2016,"offspring_cat2",0.187,0.317,0.066,0.191,2.408,0.253
"9",2017,"offspring_cat1",0.236,0.005,0.054,0.033,3.007,0.008
"10",2017,"offspring_cat2",0.193,0.231,0.053,0.244,2.627,0.216
"11",2018,"offspring_cat1",0.316,0.018,0.072,0.033,4.166,0.022
"12",2018,"offspring_cat2",0.31,0.111,0.074,0.118,4.27,0.094
"13",2019,"offspring_cat1",0.282,0.054,0.034,0.042,3.279,0.042
"14",2019,"offspring_cat2",0.283,0.07,0.037,0.047,3.254,0.081
"15",2020,"offspring_cat1",-0.023,0.902,-0.014,0.716,-0.321,0.861
"16",2020,"offspring_cat2",-0.225,0.288,-0.065,0.156,-2.54,0.313
"17",2020,"offspring_cat3",0.137,0.772,0.023,0.881,1.558,0.792
"18",2021,"offspring_cat1",0.252,0.057,0.057,0.036,2.79,0.047
"19",2021,"offspring_cat2",0.184,0.396,0.041,0.39,2.452,0.302
"20",2021,"offspring_cat3",0.252,0.399,0.071,0.197,3.125,0.302
"21",2022,"offspring_cat1",0.152,0.188,0.036,0.156,1.488,0.191
"22",2022,"offspring_cat2",0.013,0.954,-0.001,0.988,0.134,0.952
"23",2022,"offspring_cat3",0.15,0.655,0.03,0.714,1.725,0.638
"24",2023,"offspring_cat1",-0.071,0.709,-0.027,0.544,-1.046,0.627
"25",2023,"offspring_cat2",0.184,0.562,0.034,0.667,2.184,0.517
"26",2023,"offspring_cat3",0.033,0.961,0.017,0.899,0.512,0.939
